"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2011-12-09",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-04-08",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-04-09",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-04-10",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-04-11",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-04-12",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-04-13",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-04-14",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-04-15",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-04-16",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-04-17",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-04-18",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-04-19",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-04-20",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-04-21",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-04-22",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-04-23",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-04-24",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-04-25",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-04-26",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-04-27",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-04-28",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-04-29",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-04-30",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-05-01",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-05-02",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-05-03",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-05-04",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-05-06",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-05-07",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-05-08",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-05-09",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-05-10",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-05-11",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-05-13",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-05-14",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-05-15",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-05-16",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-05-17",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-05-18",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-05-20",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-05-21",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-05-22",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-05-23",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-05-24",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-05-25",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-05-28",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-05-29",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-05-31",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-06-01",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-06-02",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-06-03",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-06-04",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-06-05",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-06-06",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-06-07",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-06-08",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-06-09",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-06-10",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-06-11",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-06-12",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-06-13",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-06-14",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-06-15",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-06-16",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-06-17",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-06-18",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-06-19",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-06-20",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-06-21",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-06-22",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-06-23",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-06-24",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-06-25",,,,
