"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-01-01",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-01-02",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-01-07",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-01-08",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-01-09",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-01-10",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-01-12",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-01-13",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-01-14",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-01-15",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-01-16",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-01-17",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-01-18",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-01-19",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-01-20",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-01-21",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-01-22",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-01-23",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-01-24",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-01-27",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-01-28",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-01-29",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-01-30",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-01-31",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-02-01",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-02-02",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-02-03",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-02-06",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-02-07",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-02-08",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-02-09",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-02-10",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-02-11",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-02-12",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-02-14",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-02-19",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-02-20",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-02-21",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-02-22",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-02-23",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-02-24",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-02-25",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-02-26",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-02-27",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-02-28",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-03-01",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-03-02",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-03-03",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-03-04",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-03-05",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-03-06",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-03-07",,,,
