Year,Count of Suicides (Total),Count of suicides (Females),Count of suicides (Males),Crude rate (Total),Crude rate (Females),Crude rate (Males),Ageadjusted rate (Total),Ageadjusted rate (Females),Ageadjusted rate (Males)
2000,448,99,349,5.6,2.3,9.2,5.5,2.3,9.4
2001,462,120,342,5.7,2.8,8.9,5.6,2.7,9.1
2002,495,129,366,6.1,3,9.5,6,2.9,9.5
2003,483,136,347,6,3.2,9,5.9,3,9.3
2004,493,122,371,6.1,2.9,9.7,5.9,2.7,9.7
2005,481,123,358,6,2.9,9.4,5.8,2.8,9.3
2006,459,115,344,5.7,2.7,9,5.5,2.6,9
2007,477,133,344,5.9,3.1,9,5.7,2.9,8.9
2008,473,125,348,5.8,2.9,9,5.6,2.8,8.9
2009,475,115,360,5.8,2.7,9.3,5.5,2.5,9
2010,503,129,374,6.1,3,9.5,5.8,2.8,9.2
2011,509,128,381,6.1,2.9,9.7,5.8,2.8,9.4
2012,557,163,391,6.7,3.7,9.8,6.3,3.5,9.6
2013,550,146,404,6.5,3.3,10,6.2,3.1,9.8
2014,565,172,393,6.7,3.9,9.7,6.3,3.6,9.4
